日時,銘柄,状態,スコア,価格,アクション,信頼度
2026-02-05 09:46:09,GOLD,SUSPECTED,80,5015.8000,ALERT_SUSPECTED,60
2026-02-05 09:46:41,GOLD,CONFIRMED,80,5015.8000,FREEZE_CONFIRMED,85
