日時,日付,時刻,始値,高値,安値,終値,出来高
2026-02-09 08:05:00,2026-02-09,08:05:00,4987.84,4991.25,4987.84,4989.58,1872.2668
2026-02-09 08:06:00,2026-02-09,08:06:00,4989.42,4989.69,4984.40,4985.03,341.7680
2026-02-09 08:07:00,2026-02-09,08:07:00,4986.64,4990.59,4979.77,4979.89,193.9764
2026-02-09 08:08:00,2026-02-09,08:08:00,4979.81,4983.71,4964.88,4967.62,1320.8593
2026-02-09 08:09:00,2026-02-09,08:09:00,4966.92,4978.49,4966.83,4975.64,345.8696
2026-02-09 08:10:00,2026-02-09,08:10:00,4976.14,4977.15,4969.85,4974.06,45.2672
2026-02-09 08:11:00,2026-02-09,08:11:00,4975.26,4980.58,4973.42,4980.06,104.5905
2026-02-09 08:12:00,2026-02-09,08:12:00,4980.11,4985.02,4973.75,4976.07,222.4690
2026-02-09 08:13:00,2026-02-09,08:13:00,4975.05,4975.92,4971.86,4975.04,129.0669
2026-02-09 08:14:00,2026-02-09,08:14:00,4970.03,4979.34,4967.62,4979.28,99.5311
2026-02-09 08:15:00,2026-02-09,08:15:00,4979.64,4982.00,4977.43,4979.56,44.1081
2026-02-09 08:16:00,2026-02-09,08:16:00,4979.10,4983.37,4978.42,4981.14,89.8891
2026-02-09 08:17:00,2026-02-09,08:17:00,4981.14,4986.60,4980.58,4981.47,106.5283
2026-02-09 08:18:00,2026-02-09,08:18:00,4981.27,4989.74,4981.27,4988.95,164.9865
2026-02-09 08:19:00,2026-02-09,08:19:00,4988.86,4988.97,4984.36,4986.85,171.3937
2026-02-09 08:20:00,2026-02-09,08:20:00,4987.83,4990.13,4986.94,4989.48,78.0042
2026-02-09 08:21:00,2026-02-09,08:21:00,4988.95,4989.63,4987.52,4989.44,55.5363
2026-02-09 08:22:00,2026-02-09,08:22:00,4989.03,4994.66,4989.03,4991.59,155.8470
2026-02-09 08:23:00,2026-02-09,08:23:00,4991.59,4994.64,4991.55,4993.85,83.8543
2026-02-09 08:24:00,2026-02-09,08:24:00,4993.99,4997.67,4992.67,4997.43,141.1600
2026-02-09 08:25:00,2026-02-09,08:25:00,4997.51,5008.75,4997.07,5008.75,184.0849
2026-02-09 08:26:00,2026-02-09,08:26:00,5008.79,5017.26,5008.66,5012.17,237.7980
2026-02-09 08:27:00,2026-02-09,08:27:00,5012.13,5016.33,5010.04,5016.02,173.9276
2026-02-09 08:28:00,2026-02-09,08:28:00,5016.02,5026.96,5015.00,5024.99,251.3242
2026-02-09 08:29:00,2026-02-09,08:29:00,5024.62,5024.71,5017.96,5024.71,160.7263
2026-02-09 08:30:00,2026-02-09,08:30:00,5024.60,5029.18,5020.06,5028.50,155.5515
2026-02-09 08:31:00,2026-02-09,08:31:00,5028.50,5028.50,5020.45,5026.90,133.1513
2026-02-09 08:32:00,2026-02-09,08:32:00,5026.84,5036.09,5024.10,5035.06,196.3622
2026-02-09 08:33:00,2026-02-09,08:33:00,5036.32,5045.08,5034.47,5040.89,279.7692
2026-02-09 08:34:00,2026-02-09,08:34:00,5040.89,5040.89,5035.56,5035.60,113.7436
2026-02-09 08:35:00,2026-02-09,08:35:00,5035.60,5035.61,5023.36,5032.10,106.1244
2026-02-09 08:36:00,2026-02-09,08:36:00,5030.50,5035.10,5030.50,5034.90,113.4123
2026-02-09 08:37:00,2026-02-09,08:37:00,5034.94,5042.67,5034.54,5042.67,236.5613
2026-02-09 08:38:00,2026-02-09,08:38:00,5042.24,5043.53,5039.18,5041.97,332.0011
2026-02-09 08:39:00,2026-02-09,08:39:00,5041.50,5041.52,5035.88,5036.59,169.1696
2026-02-09 08:40:00,2026-02-09,08:40:00,5036.59,5042.78,5035.91,5041.02,258.1770
2026-02-09 08:41:00,2026-02-09,08:41:00,5042.91,5043.08,5038.94,5039.20,75.4071
2026-02-09 08:42:00,2026-02-09,08:42:00,5039.45,5041.73,5038.00,5041.02,104.7812
2026-02-09 08:43:00,2026-02-09,08:43:00,5041.03,5041.83,5034.29,5034.55,158.8123
2026-02-09 08:44:00,2026-02-09,08:44:00,5034.89,5042.07,5031.52,5041.26,97.7686
2026-02-09 08:45:00,2026-02-09,08:45:00,5041.55,5044.03,5033.61,5033.61,159.8299
