Symbol,Interval,Current_Rate(%),Daily_Rate(%),Method
CAKE-USDT,4h,0.005,0.03,History_Search
CAMP-USDT,4h,0.005,0.03,History_Search
CARV-USDT,4h,-0.006,-0.036000000000000004,History_Search
CATI-USDT,4h,0.005,0.03,History_Search
CC-USDT,4h,0.0034999999999999996,0.020999999999999998,History_Search
CETUS-USDT,4h,0.005,0.03,History_Search
CGPT-USDT,4h,0.005,0.03,History_Search
CHILLGUY-USDT,4h,0.0224,0.1344,History_Search
CLANKER-USDT,4h,0.005,0.03,History_Search
CLAWDONBASE-USDT,4h,0.0084,0.0504,History_Search
CLAWNCH-USDT,4h,0.013999999999999999,0.08399999999999999,History_Search
CLO-USDT,4h,-0.11150000000000002,-0.669,History_Search
COAI-USDT,4h,0.0322,0.19319999999999998,History_Search
COLLECT-USDT,4h,0.0097,0.0582,History_Search
COOKIE-USDT,4h,0.005,0.03,History_Search
COW-USDT,4h,0.005,0.03,History_Search
CROSS-USDT,4h,0.0131,0.0786,History_Search
CTK-USDT,4h,0.005,0.03,History_Search
CYBER-USDT,4h,-0.3549,-2.1294,History_Search
CYPR-USDT,4h,-0.013999999999999999,-0.08399999999999999,History_Search
CYS-USDT,4h,0.0034999999999999996,0.020999999999999998,History_Search
DAM-USDT,4h,0.0923,0.5538,History_Search
DEEP-USDT,4h,-0.058,-0.34800000000000003,History_Search
DEGEN-USDT,4h,0.005,0.03,History_Search
DEGO-USDT,4h,0.005399999999999999,0.0324,History_Search
DIA-USDT,4h,0.005,0.03,History_Search
DN-USDT,4h,0.0098,0.0588,History_Search
DOLO-USDT,4h,0.005,0.03,History_Search
DONT-USDT,4h,-0.012,-0.07200000000000001,History_Search
DOOD-USDT,4h,0.005,0.03,History_Search
DRIFT-USDT,4h,0.005,0.03,History_Search
DUSK-USDT,4h,-0.0401,-0.24059999999999998,History_Search
DYM-USDT,4h,0.005,0.03,History_Search
EIGEN-USDT,4h,0.005,0.03,History_Search
ELIZAOS-USDT,4h,-0.02,-0.12,History_Search
ELSA-USDT,4h,-0.08059999999999999,-0.4835999999999999,History_Search
ENA-USDT,4h,0.005,0.03,History_Search
ENSO-USDT,4h,-0.0871,-0.5226,History_Search
EPH-USDT,4h,0.013999999999999999,0.08399999999999999,History_Search
EPIC-USDT,4h,0.005,0.03,History_Search
ERA-USDT,4h,0.0013,0.0078,History_Search
ESIM-USDT,4h,0.0117,0.0702,History_Search
ESPORTS-USDT,4h,0.0034999999999999996,0.020999999999999998,History_Search
ETHFI-USDT,4h,-0.0014,-0.0084,History_Search
EVAA-USDT,4h,0.018799999999999997,0.11279999999999998,History_Search
F-USDT,4h,-1.1213000000000002,-6.727800000000001,History_Search
FARTCOIN-USDT,4h,0.005,0.03,History_Search
FF-USDT,4h,-0.0007,-0.0042,History_Search
FIDA-USDT,4h,0.005,0.03,History_Search
FIGHTID-USDT,4h,0.005,0.03,History_Search
FLOCK-USDT,4h,-0.021,-0.126,History_Search
